wert;name;text_overview;text_overviewAsyncTN;text_syncInt-0;text_syncInt-1;text_syncInt-2;text_asyncTN-0;text_asyncTN-1;text_asyncTN-2;text_asyncTN-3;text_asyncTN-4;text_asyncInt-0;text_asyncInt-1;text_asyncInt-2;text_technik;raum_syncInt-0;raum_syncInt-1;raum_syncInt-2;tips_general;tips_syncInt-0;tips_syncInt-1;tips_syncInt-2;tips_asyncTN-0;tips_asyncTN-1;tips_asyncTN-2;tips_asyncTN-3;tips_asyncTN-4;tips_asyncInt-0;tips_asyncInt-1;tips_asyncInt-2
de-default;Standardszenario;Diesen Text sollte niemand eigentlich sehen.;Für Studierende mit kaum vermeidbaren Barrieren oder Konflikten für die synchrone Teilnahme ist es am besten, alternative Möglichkeiten zur Einbindung der Kursinhalte anzubieten. Dies kann durch die <b>Option der asynchronen Teilnahme</b> erreicht werden, indem gleichwertige digitale Ressourcen innerhalb des Lernmanagementsystems des Kurses genutzt werden.;Laut Ihrer Angaben können Studierende auch ohne viel synchrone Interaktion die Lernziele des Kurses erreichen. Es ist trotzdem eine gute Idee, den Studierenden strukturierte Gelegenheiten zur Interaktion mit Ihnen zu bieten, so dass alle Studierenden (und nicht nur ein paar motivierte in der ersten Reihe!) die Chance haben, Fragen zu stellen und ihr eigenes Lernen zu überprüfen. Hier finden Sie einige Ideen, wie Sie das als Lehrperson umsetzen könnten.;Laut Ihrer Angaben ist synchrone studentische Interaktion vorteilhaft für den Erfolg Ihrer Studierenden, auch wenn es nicht intensiv in Gruppen gearbeitet wird. Die folgenden Tipps könnten Ihnen als Lehrperson helfen, diese Interaktion in Ihrem Setting zu fördern.;Laut Ihrer Angaben sollen Studierende in diesem Kurs nicht nur aktiv an der Diskussion teilnehmen, sondern auch gelegentlich miteinander in Gruppen arbeiten. Die folgenden Tipps könnten Ihnen als Lehrperson helfen, diese Interaktion in Ihrem Setting zu strukturieren und zu fördern.;Nach Ihren Antworten zur Notwendigkeit der Synchronität und zu den zeitlichen Beschränkungen der Studierenden wird Ihnen <b>rein synchroner Unterricht</b> empfohlen, das heißt, Studierende müssen in der Regel keine oder fast keine Materialien vor- oder nacharbeiten. Obwohl sie den Umfang an abgedeckten Lerninhalten begrenzt, ist eine rein-synchrone Lehrveranstaltung für Studierendenkohorte mit großen Zeiteinschränkungen (z.B. Studium neben dem Beruf) geeignet, weil die Studierenden alle wichtigen Lernziele innerhalb der Kurssitzungen abdecken können.;Laut Ihren Angaben zur Notwendigkeit der Synchronität und zu den zeitlichen Einschränkungen der Studierenden wird Ihnen eine <b>Ergänzung des synchronen Unterrichts durch Materialien für asynchrone Nacharbeit</b> empfohlen. Diese Materialien ersetzen die synchrone Teilnahme nicht, aber sie erlauben den Studierenden zu einem für sie flexiblen Zeitpunkt sich in den besprochenen Themen zu vertiefen. ;Laut Ihren Angaben zur Notwendigkeit der Synchronität und zu den zeitlichen Einschränkungen der Studierenden wird Ihnen eine <b>Ergänzung des synchronen Unterrichts durch Materialien für asynchrone Vor- und Nacharbeit</b> empfohlen. Diese Materialien ersetzen die synchrone Teilnahme nicht. Die Vorarbeit führt dazu, dass Studierende besser vorbereitet in den Unterricht kommen und die Zeit effizienter für Interaktion, Reflexion und Vertiefung genutzt werden kann. So ein <b>Flipped Classroom</b>-Format benötigt regelmäßige Arbeit von den Studierenden und deshalb ist es besser für Studierendenkohorten ohne große zeitliche Einschränkungen geeignet.;Laut Ihren Angaben zur Notwendigkeit der Synchronität und zu den zeitlichen Einschränkungen der Studierenden wird Ihnen empfohlen, <b>eine asynchrone Teilnahmealternative für Ihre synchrone Lehrveranstaltung zu ermöglichen</b>. ;Laut Ihren Angaben zur (nicht-)Notwendigkeit der Synchronität und zu den zeitlichen Einschränkungen von Ihnen und Ihren  Studierenden wird Ihnen empfohlen, <b>Ihren Kurs hauptsächlich asynchron zu halten</b>. ;„Minimal“ bedeutet hier, dass die asynchrone Teilnahme hauptsächlich darin besteht, Informationen zu konsumieren (Texte, Videos usw.) anstatt z.B. mit anderen Studierenden oder mit Feedback-Tools zu interagieren.;Sie wünschen sich laut Ihrer Angaben zusätzlich, <b>studentische Interaktion außerhalb der Kurssitzungen zu unterstützen</b>. Hier einige Ideen, wie Sie das in Ihren Kurs einbauen können:;Sie wünschen sich laut Ihrer Angaben zusätzlich, <b>studentische Interaktion außerhalb der Kurssitzungen zu unterstützen, sondern Anreize für diese Interaktion zu schaffen.</b>. Hier einige Ideen, wie Sie das in Ihren Kurs einbauen können:;digital;digital;digital;digital;default;-;-;-;barrierefreieMat;flippedClassroom, barrierefreieMat, sinnesKanaele, aufzNichtErsatzVL, aufzNichtErsatzSE, aufzKurzvideosVL, aufzKurzvideosSE;flippedClassroom, barrierefreieMat, sinnesKanaele, aufzNichtErsatzVL, aufzNichtErsatzSE, aufzKurzvideosVL, aufzKurzvideosSE;barrierefreieMat, sinnesKanaele, videoIntro3, humFeedback, aufzErsatzVL, aufzErsatzSE, miniLectures;barrierefreieMat, sinnesKanaele, videoIntro4, humFeedback;asyncMotiv;feedbackAlsAnreiz, woechCheckin;feedbackAlsAnreiz, woechCheckin
so-async;Digital asynchroner Kurs;"Ein digital asynchroner Kurs hat keine (oder fast keine) synchronen Sitzungen, in denen Inhalte vermittelt werden. Die Lehrperson stellt stattdessen Texte, Mini-Lecture-Videos, Quizze oder andere Materialien auf einer Online-Plattform (z. B. Moodle) zur Verfügung, die durch Studierenden bearbeitet werden. Die Materialien werden in der Regel entweder alle zum gleichen Zeitpunkt bereitgestellt (völlig selbstgesteuertes Lernen) oder regelmäßig und schrittweise veröffentlicht. In manchen asynchronen Kursen müssen Studierende zu bestimmten Zeitpunkten Arbeitsmaterialien einreichen, die von einer Lehrperson, Peers oder automatisch bewertet werden. 
<br><br>
Ein rein-asynchroner Kurs bietet maximale Flexibilität sowohl für die Studierenden als auch für die Lehrperson und ist ideal, wenn die Lehrperson oder die Studierenden, an die sich der Kurs richtet,  einen begrenzten Zeitplan haben. Außerdem können Studierende eines asynchronen Kurses trotzdem von synchronen Aspekten wie Live-Sprechstunden profitieren.  
<br><br>
Eine Herausforderung asynchroner Kurse ist das Fehlen einer zeitlichen Struktur, was dazu führt, dass Studierende mit geringer intrinsischer Motivation häufiger in Rückstand geraten oder den Kurs nicht abschließen. Deswegen sind asynchrone Kurse besser für erfahrenere Studierende geeignet, die schon selbstgesteuerte Lernstrategien entwickelt haben.";-;Dieses Lehrformat hat keine synchronen Komponenten.;Dieses Lehrformat hat keine synchronen Komponenten.;Dieses Lehrformat hat keine synchronen Komponenten.;-;-;-;-;-;-;-;-;digital;digital;digital;digital;toolsDatenschutz, woechCheckin;-;-;-;-;-;-;-;-;-;reflexionAsync;reflexionAsync, videoIntro4
vl-rem;Synchron-hybride standortübergreifende Vorlesung;"In diesem Szenario sind zwei Hörsäle an zwei verschiedenen Standorten über das Internet verbunden, jeweils mit einer Präsenzgruppe von Studierenden und einer Lehrperson. Studierende besuchen die Vorlesung in Präsenz an dem jeweiligen Standort und die Lehrenden übernehmen i.d.R. abwechselnd die Leitung verschiedener Teile des Unterrichts. Die Studierenden und Lehrenden beider Standorte können sich gegenseitig sehen und hören. Die Vorlesung wird durch ein Learning Management System (z. B. Moodle) ergänzt, in dem idealerweise alle Studierenden beider Standorte eingeschrieben sind. Innerhalb eines Semesters würde wahrscheinlich ein Teil der Vorlesungssitzungen in diesem kollaborativen standortübergreifenden Format stattfinden, während andere Termine in Präsenz nur für eine Studierendengruppe abgehalten würden.
<br><br>
Dieses Lehrformat ermöglicht eine Perspektivenvielfalt im Studium durch Austausch zwischen Ländern, Hochschulen oder Disziplinen, während die Interaktionsvorteile einer Präsenzveranstaltung beibehalten werden. Für die Lehrenden kann das Co-Teaching im Rahmen einer standortübergreifenden Vorlesung nicht nur auf organisatorischer Ebene hilfreich sein, sondern es ermöglicht ihnen auch, vom gegenseitigen Unterrichtsstil zu lernen.";-;-;Laut Ihrer Angaben ist synchrone studentische Interaktion vorteilhaft für den Erfolg Ihrer Studierenden, auch wenn es nicht intensiv in Gruppen gearbeitet wird. Das kann in einem hybriden Setting mit zwei Lehrräumen und zwei Studierendengruppen herausfordernd sein. Die folgenden Tipps könnten Ihnen als Lehrperson helfen, diese Interaktion in Ihrem Setting zu fördern.;Laut Ihrer Angaben sollen Studierende in diesem Kurs nicht nur aktiv an der Diskussion teilnehmen, sondern auch gelegentlich miteinander in Gruppen arbeiten. Das kann in einem hybriden Setting mit zwei Lehrräumen und zwei Studierendengruppen herausfordernd sein. Die folgenden Tipps könnten Ihnen als Lehrperson helfen, diese Interaktion in Ihrem Setting zu strukturieren und zu fördern.;-;-;-;-;-;-;-;-;COMINGSOON;COMINGSOON;COMINGSOON;COMINGSOON;toolsDatenschutz, privateEcke, wartezeitHyb, darstellungsformen, moderationRem;audienceResponsePr, abwechselung;audienceResponsePr, diskFutter;chatiquetteLv2, gruppenarbHyb, diskFutter;-;- ;- ;woechCheckin;-;-;-;reflexionHyb
se-rem;Synchron-hybrides standortübergreifendes Seminar;"In diesem Szenario sind zwei Seminarräume an zwei verschiedenen Standorten über das Internet verbunden, jeweils mit einer Präsenzgruppe von Studierenden und einer Lehrperson. Studierende besuchen das Seminar in Präsenz an dem jeweiligen Standort und die Lehrenden übernehmen i.d.R. abwechselnd die Leitung verschiedener Teile des Unterrichts. Die Studierenden und Lehrenden beider Standorte können sich gegenseitig sehen und hören. Das Seminar wird durch ein Learning Management System (z. B. Moodle) ergänzt, in dem idealerweise alle Studierenden beider Standorten eingeschrieben sind. Innerhalb eines Semesters würde wahrscheinlich ein Teil der Seminarsitzungen in diesem kollaborativen standortübergreifenden Format stattfinden, während andere Termine in Präsenz nur für eine Studierendengruppe abgehalten würden.
<br><br>
Dieses Lehrformat ermöglicht eine Perspektivenvielfalt im Studium durch Austausch zwischen Ländern, Hochschulen oder Disziplinen, während die Interaktionsvorteile einer Präsenzveranstaltung beibehalten werden. <a href='https://www.e-teaching.org/praxis/hybride-lernraeume/standortuebergreifendes-hybridseminar-konzept' title='e-teaching.org: Standortübergreifendes Hybridseminar'></a> Für die Lehrenden kann das Co-Teaching im Rahmen einer standortübergreifenden Vorlesung nicht nur auf organisatorischer Ebene hilfreich sein, sondern es ermöglicht ihnen auch, vom gegenseitigen Unterrichtsstil zu lernen.";-;-;-;-;-;-;-;-;-;-;-;-;Zwei Seminarräume für 30 Personen / Raumgröße 80qm, Hybrides Seting für Webkonferenz (z.B. Zoom);https://sketchfab.com/models/4ea2d3ffaa704717b815c8c2d3f091a5/embed?annotations_visible=1&dnt=1;https://sketchfab.com/models/4ea2d3ffaa704717b815c8c2d3f091a5/embed?annotations_visible=1&dnt=1;COMINGSOON;toolsDatenschutz, privateEcke, wartezeitHyb, darstellungsformen, moderationRem;abwechselung, diskFutter;audienceResponsePr, strukturKommPrOnl, diskFutter;chatiquetteLv2, strukturKommPrOnl, gruppenarbHyb, diskFutter;-;- ;- ;woechCheckin;-;-;-;reflexionHyb, videoIntro3
vl-hyb;Synchron-hybride Vorlesung mit einzelnen Online-Teilnehmenden;"In diesem Lehrformat befindet sich die Lehrperson und mehrere Studierende in einem Hörsaal, während einzelne Studierende von verschiedenen Standorten aus über eine Webkonferenz den Unterricht verfolgen und dazu mithilfe digitaler Tools beitragen. <a href=https://www.e-teaching.org/praxis/hybride-lernraeume/hybride-streaming-vorlesung' title='e-teaching.org: Hybride Streaming-Vorlesung'></a> Je nach verfügbarer (Raum-)technik kann eine hybride Vorlesung viele Formen annehmen, indem entweder festinstallierte oder mobile Technik verwendet wird. Idealerweise können beide Studierendengruppen (vor Ort und online) einander sehen und miteinander interagieren, auch wenn der Umfang und die Art der Interaktion variieren können. 
<br><br>
Solange die Lernziele des Kurses gut online zu erreichen sind, bietet hybride Lehre den Studierenden einen riesigen Vorteil an Flexibilität: Studierende mit Familien- oder Care-Verpflichtungen, Mobilitätseinschränkungen oder einer Nebentätigkeit können den Kurs ohne Unterbrechung besuchen, während Studierende, die kurzfristig an der persönlichen Teilnahme gehindert werden (z. B. durch Verletzungen oder Krankheit), ebenfalls vermeiden können, Kursmaterial zu verpassen. Außerdem bietet das Format Flexibilität für die Lehrperson, da die Sitzungen in vielen Fällen auch dann ohne Unterbrechung stattfinden können, wenn sie nicht anwesend ist. 
<br><br>
Die am häufigsten genannten Herausforderungen beim hybriden Unterricht sind die das reibungslose Funktionieren der Technik während der Sitzung und die gleichzeitige Einbindung der Studierenden in den Online- und Präsenzraum. Oft können diese Herausforderungen überfordernd für eine einzelne Lehrperson sein, weshalb es empfohlen wird, während der Planung und Durchführung einer hybriden Vorlesung institutionelle und kollegiale Unterstützung in Anspruch zu nehmen. ";-;-;-;-;-;-;-;-;-;-;-;-;COMINGSOON;COMINGSOON;COMINGSOON;COMINGSOON;toolsDatenschutz, privateEcke, wartezeitHyb, darstellungsformen, hinweiseHyb, notHyFlex;chatiquetteHybLv1, moderationHybSimple, abwechselung, audienceResponseHyb;chatiquetteLv2, moderationHybSimple, audienceResponseHyb, strukturKommHyb, diskFutter;chatiquetteLv2, moderationHybGr, gruppenarbHyb, diskFutter;zeitmanagementV3;zeitmanagementV2 ;zeitmanagementV1;zeitmanagementV1, woechCheckin;-;-;-;reflexionHyb
se-hyb;Synchron-hybrides Seminar mit einzelnen Online-Teilnehmenden;"In diesem Lehrformat befindet sich die Lehrperson und mehrere Studierende in einem Seminarraum, während einzelne Studierenden von verschiedenen Standorten aus über eine Webkonferenz den Unterricht verfolgen und dazu beitragen. Je nach verfügbarer (Raum-)technik kann ein hybrides Seminar viele Formen annehmen, indem entweder festinstallierte oder mobile Technik verwendet wird. Idealerweise können beide Studierendengruppen (vor Ort und online) einander sehen und miteinander interagieren, auch wenn der Umfang und die Art der Interaktion variieren können.  
<br><br>
Solange die Lernziele des Kurses gut online zu erreichen sind, bietet hybride Lehre den Studierenden einen riesigen Vorteil an Flexibilität: Studierende mit Familien- oder Care-Verpflichtungen, Mobilitätseinschränkungen oder einer Nebentätigkeit können den Kurs ohne Unterbrechung besuchen, während Studierende, die kurzfristig an der persönlichen Teilnahme gehindert werden (z. B. durch Verletzungen oder Krankheit), ebenfalls vermeiden können, Kursmaterial zu verpassen. Außerdem bietet das Format Flexibilität für die Lehrperson, da die Sitzungen in vielen Fällen auch dann ohne Unterbrechung stattfinden können, wenn sie nicht anwesend ist.  
<br><br>
Die am häufigsten genannten Herausforderungen beim hybriden Unterricht sind das reibungslose Funktionieren der Technik während der Sitzung und die gleichzeitige Einbindung der Studierenden in den Online- und Präsenzraum. Oft können diese Herausforderungen überfordernd für eine einzelne Lehrperson sein, weshalb es empfohlen wird, während der Planung und Durchführung eines hybriden Seminars institutionelle und kollegiale Unterstützung in Anspruch zu nehmen. ";-;-;-;-;-;-;-;-;-;-;-;-;Seminarraum für 30 Personen / Raumgröße 80qm, Hybrides Seting für Webkonferenz (z.B. Zoom);https://sketchfab.com/models/4ea2d3ffaa704717b815c8c2d3f091a5/embed?annotations_visible=1&dnt=1 ;https://sketchfab.com/models/4ea2d3ffaa704717b815c8c2d3f091a5/embed?annotations_visible=1&dnt=1 ;COMINGSOON;toolsDatenschutz, privateEcke, wartezeitHyb, hinweiseHyb, notHyFlex;abwechselung;chatiquetteLv2, moderationHybSimple, audienceResponseHyb, strukturKommHyb, diskFutter;chatiquetteLv2, moderationHybGr, strukturKommHyb, gruppenarbHyb, diskFutter;zeitmanagementV3;zeitmanagementV2 ;zeitmanagementV1;zeitmanagementV1, woechCheckin;-;-;-;reflexionHyb, videoIntro3
vl-onl;Online synchrone Vorlesung ;"In einer synchronen Online-Vorlesung treffen sich die Lehrperson und die Studierenden zur gleichen Zeit in einem virtuellen Raum über eine Videokonferenz-Plattform. Die Lehrperson präsentiert die Inhalte live durch Vorträge, Bildschirmfreigaben oder digitale Präsentationsmedien. Während der Sitzung können Studierende Fragen stellen und Feedback geben, entweder mündlich oder über eine Chatfunktion. Je nach Plattform können interaktive Elemente wie Umfragen, Breakout-Räume für Kleingruppenarbeit oder digitale Whiteboards genutzt werden, um die Studierenden aktiv einzubeziehen. In dem hier beschriebenen Lehrformat finden <em>alle</em> Vorlesungen in einem Semester online statt, d.h. es gibt keine einzelnen Präsenztermine.
<br><br>
Dieses Lehrformat bietet auch ohne Präsenztreffen eine hohe zeitliche Struktur und ermöglicht eine direkte Interaktion zwischen Lehrperson und Studierenden, unabhängig von deren physischem Aufenthaltsort. Solange alle Studierenden Zugang zu einer Umgebung mit Internetverbindung und wenig Störung haben, um an der Vorlesung teilzunehmen, bietet das reine Online-Format Flexibilität in Form von minimierten Pendelwegen und Ortsunabhängigkeit. Die Herausforderungen einer synchronen Online-Vorlesung liegen vor allem in der technischen Abhängigkeit und der potenziell begrenzten Aufmerksamkeitsspanne der Studierenden bei längeren Sitzungen. Viele dieser Herausforderungen können jedoch durch entsprechende Planung vollständig gelöst werden.";-;-;-;-;-;-;-;-;-;-;-;-;digital;digital;digital;digital;toolsDatenschutz, wartezeitHyb, hinweiseOnl;chatiquetteOnlLv1, abwechselung, audienceResponseOnl;chatiquetteLv2, camAnAus, audienceResponseOnl, diskFutter;gruppenarbPrOnl, chatiquetteLv2, camAnAus, diskFutter;-;- ;- ;woechCheckin;-;-;-;reflexionHyb
se-onl;Online synchrones Seminar ;"In einem synchronen Online-Seminar treffen sich die Lehrperson und die Studierenden in Echtzeit über eine Videokonferenz-Plattform. Im Gegensatz zur Vorlesung steht hier durch Gruppenarbeiten, Reflexionen und Diskussionen der interaktive Austausch im Mittelpunkt. Die Lehrperson moderiert die Sitzung und setzt häufig interaktive Tools wie Breakout-Räume, digitale Whiteboards, Umfragen oder kollaborative Dokumente ein, um die aktive Beteiligung der Studierenden zu fördern. In dem hier beschriebenen Lehrformat finden <em>alle</em> Seminare in einem Semester online statt, d.h. es gibt keine einzelnen Präsenztermine.
<br><br>
Solange alle Studierenden Zugang zu einer Umgebung mit Internetverbindung und wenig Störung haben, um an dem Seminar teilzunehmen, bietet das reine Online-Format Flexibilität in Form von minimierten Pendelwegen und Ortsunabhängigkeit. Studierende können standortunabhängig in kleinen bis mittleren Gruppen intensiv arbeiten und den Lernprozess durch direkte Interaktion und Zusammenarbeit vertiefen, während die Lehrperson gezielt Impulse geben und Diskussionen moderieren kann. Der synchrone Charakter ermöglicht zudem spontane Rückfragen und Feedback.
<br><br>
Die Herausforderungen eines synchronen Online-Seminars bestehen häufig in der Notwendigkeit, ein hohes Maß an Interaktion in der digitalen Umgebung aufrechtzuerhalten. Diese Interaktion muss nicht nur technisch möglich sein, sondern die Lehrperson muss gezielt darauf achten, alle Teilnehmenden aktiv einzubeziehen, um ein erfolgreiches, dynamisches Seminarerlebnis zu gewährleisten.";-;-;-;-;-;-;-;-;-;-;-;-;digital;digital;digital;digital;toolsDatenschutz, wartezeitHyb, hinweiseOnl;abwechselung;chatiquetteLv2, camAnAus, audienceResponseOnl, strukturKommPrOnl, diskFutter;gruppenarbPrOnl, chatiquetteLv2, camAnAus, strukturKommPrOnl, diskFutter;-;- ;- ;woechCheckin;-;-;-;reflexionHyb, videoIntro3
vl-praes;Präsenzvorlesung ;"In einer Präsenzvorlesung treffen sich die Lehrperson und die Studierenden in einem physischen Hörsaal zur gleichen Zeit. Die Lehrperson vermittelt die Inhalte in Form von Vorträgen, unterstützt durch Präsentationsmedien wie Folien, Tafelanschriften oder Visualisierungen. Studierende haben in der Regel die Möglichkeit, Fragen zu stellen oder sich an kurzen Diskussionen zu beteiligen. Zusätzliche Materialien wie Handouts oder digitale Inhalte werden häufig über ein Learning Management System (z.B. Moodle) bereitgestellt.
<br><br>
Die Präsenzvorlesung bietet einen klar strukturierten Rahmen für die Wissensvermittlung und ermöglicht durch die physische Anwesenheit der Lehrperson und der Studierenden eine Atmosphäre, die spontane Rückfragen und unmittelbare Interaktion untertsützt. Zudem fördert die gemeinsame Teilnahme das Gefühl der Zugehörigkeit und des akademischen Austauschs. Im Vergleich zu Online- oder hybriden Formaten hat eine reine Präsenzvorlesung den Nachteil, dass die Teilnahme für Studierende mit einem engen Zeitplan oder besonderen Anforderungen aufgrund der Beschränkung auf einen festen Ort und eine feste Zeit weniger flexibel ist.";-;-;-;-;-;-;-;-;-;-;-;-;COMINGSOON;COMINGSOON;COMINGSOON;COMINGSOON;toolsDatenschutz, wartezeitPr, darstellungsformen;audienceResponsePr;audienceResponsePr, strukturKommPrOnl;gruppenarbPrOnl, strukturKommPrOnl;-;- ;- ;woechCheckin;-;-;-;reflexionHyb
se-praes;Präsenzseminar ;"Im Präsenzseminar treffen sich die Lehrperson und die Studierenden zur gleichen Zeit in einem Seminarraum, um sich mit Themen durch Diskussionen, Präsentationen, Gruppenarbeit oder gemeinsame Reflexionen aktiv auseinanderzusetzen. Die Lehrperson moderiert und strukturiert den Lernprozess, während die Studierenden eigene Beiträge einbringen, Fragen stellen und ihre Ideen weiterentwickeln können.
<br><br>
Die direkte Atmosphäre in einem Präsenzseminar fördert die Motivation, das Engagement und das Gemeinschaftsgefühl innerhalb der Gruppe. Die physische Anwesenheit erleichtert zudem die nonverbale Kommunikation, spontane Wortmeldungen und den unmittelbaren Austausch von Ideen, was für viele Studierende eine ideale Voraussetzung für kooperative Lernprozesse bietet. Es muss aber beachtet werden, dass dieser spontane, direkte Kommunikationsstil nicht für alle Studierenden von Vorteil ist (z. B. mit Rücksicht auf Neurodiversität <a href=' https://hochschulforumdigitalisierung.de/hochschullehre-neurodivers/' title='HFD-Blog: Neurodiversität in der digitalen Hochschullehre'></a>).
<br><br>
Eine Herausforderung im Präsenzseminar ist die Notwendigkeit, alle Teilnehmenden aktiv einzubinden, um passive Anwesenheit zu vermeiden. Außerdem hat ein reines Präsenzseminar im Vergleich zu Online- oder hybriden Formaten den Nachteil, dass die Teilnahme für Studierende mit einem engen Zeitplan oder besonderen Anforderungen aufgrund der Beschränkung auf einen festen Ort und eine feste Zeit weniger flexibel ist.";-;-;-;-;-;-;-;-;-;-;-;-;Seminarraum für 30 Personen / Raumgröße 80qm;COMINGSOON;COMINGSOON;COMINGSOON;toolsDatenschutz, wartezeitPr, darstellungsformen;audienceResponsePr;audienceResponsePr, strukturKommPrOnl;gruppenarbPrOnl, strukturKommPrOnl;-;- ;- ;woechCheckin;-;-;-;reflexionHyb, videoIntro3
